experiment,experiment_dir,model,category,gpu_name,corruption,severity,auroc,aupr,precision,recall,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_rd4ad_polymer_sheet_Polymer_sheet_shot_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_rd4ad_polymer_sheet_Polymer_sheet_shot_noise_s3,rd4ad,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,3,0.665542876901798,0.9768329274108368,1.0,0.03319502074688797,0.0642570281124498,6.372958620553072,1779841234005314000,2724
coldstart_stfpm_polymer_sheet_Polymer_sheet_gaussian_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_gaussian_noise_s1,stfpm,Polymer_sheet,Tesla T4,gaussian_noise,1,0.5516078838174274,0.9695818845214609,1.0,0.10995850622406639,0.19813084112149532,14.817498053370626,1779802262504320400,2689
coldstart_stfpm_polymer_sheet_Polymer_sheet_gaussian_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_gaussian_noise_s2,stfpm,Polymer_sheet,Tesla T4,gaussian_noise,2,0.8283195020746887,0.9902370926090769,1.0,0.12863070539419086,0.2279411764705882,14.852061966401292,1779802264362490600,2690
coldstart_stfpm_polymer_sheet_Polymer_sheet_gaussian_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_gaussian_noise_s3,stfpm,Polymer_sheet,Tesla T4,gaussian_noise,3,0.6318291839557401,0.9742761393123663,1.0,0.12033195020746888,0.21481481481481482,14.820686296417644,1779802260895152500,2687
coldstart_stfpm_polymer_sheet_Polymer_sheet_motion_blur_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_motion_blur_s1,stfpm,Polymer_sheet,Tesla T4,motion_blur,1,0.5882607192254495,0.9716165161762146,1.0,0.2842323651452282,0.44264943457189015,14.847049656128572,1779807743665849100,2684
coldstart_stfpm_polymer_sheet_Polymer_sheet_motion_blur_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_motion_blur_s2,stfpm,Polymer_sheet,Tesla T4,motion_blur,2,0.7493948824343016,0.9845419998163262,1.0,0.4315352697095436,0.6028985507246377,14.80611413437771,1779807741241815300,2679
coldstart_stfpm_polymer_sheet_Polymer_sheet_motion_blur_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_motion_blur_s3,stfpm,Polymer_sheet,Tesla T4,motion_blur,3,0.4086272475795298,0.946699855521234,0.9818181818181818,0.11203319502074689,0.2011173184357542,14.824012152188077,1779807743109164000,2694
coldstart_stfpm_polymer_sheet_Polymer_sheet_shot_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_shot_noise_s1,stfpm,Polymer_sheet,Tesla T4,shot_noise,1,0.6495072614107884,0.9759774903392908,1.0,0.2572614107883817,0.4092409240924092,14.840830337942387,1779802258068576600,2678
coldstart_stfpm_polymer_sheet_Polymer_sheet_shot_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_shot_noise_s2,stfpm,Polymer_sheet,Tesla T4,shot_noise,2,0.4501210235131397,0.9432638323484619,1.0,0.014522821576763486,0.02862985685071575,14.920977403151864,1779802257962141700,2680
coldstart_stfpm_polymer_sheet_Polymer_sheet_shot_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_stfpm_polymer_sheet_Polymer_sheet_shot_noise_s3,stfpm,Polymer_sheet,Tesla T4,shot_noise,3,0.5418395573997233,0.9641173965783634,1.0,0.10995850622406639,0.19813084112149532,14.887628527656474,1779807742178732500,2680
coldstart_subspacead_polymer_sheet_Polymer_sheet_gaussian_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_gaussian_noise_s1,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,gaussian_noise,1,1.0,1.0,0.9979296066252588,1.0,0.9989637305699481,46.958511839922146,1779820893365675100,2698
coldstart_subspacead_polymer_sheet_Polymer_sheet_gaussian_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_gaussian_noise_s2,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,gaussian_noise,2,0.9997406639004149,0.9999871225721958,0.9979253112033195,0.9979253112033195,0.9979253112033195,45.13016644862212,1779820902478885300,2772
coldstart_subspacead_polymer_sheet_Polymer_sheet_gaussian_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_gaussian_noise_s3,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,gaussian_noise,3,0.9991355463347165,0.9999575366859715,1.0,0.991701244813278,0.9958333333333333,46.30179424110493,1779820883474537000,2753
coldstart_subspacead_polymer_sheet_Polymer_sheet_motion_blur_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_motion_blur_s1,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,1,1.0,1.0,0.9958677685950413,1.0,0.9979296066252588,85.13874702371568,1779827384549795400,2691
coldstart_subspacead_polymer_sheet_Polymer_sheet_motion_blur_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_motion_blur_s2,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,2,1.0,1.0,0.9979296066252588,1.0,0.9989637305699481,88.09883031818055,1779827393476667000,2688
coldstart_subspacead_polymer_sheet_Polymer_sheet_motion_blur_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_motion_blur_s3,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,3,1.0,1.0,0.9979296066252588,1.0,0.9989637305699481,87.07263283201793,1779827382721204100,2691
coldstart_subspacead_polymer_sheet_Polymer_sheet_shot_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_shot_noise_s1,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,1,0.9754495159059474,0.9986831400044737,0.9974424552429667,0.8091286307053942,0.8934707903780069,47.995795452577475,1779827388354956800,2765
coldstart_subspacead_polymer_sheet_Polymer_sheet_shot_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_shot_noise_s2,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,2,0.564488243430152,0.9687013702009926,0.98989898989899,0.2033195020746888,0.3373493975903614,46.36523571738866,1779827386523108100,2761
coldstart_subspacead_polymer_sheet_Polymer_sheet_shot_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_subspacead_polymer_sheet_Polymer_sheet_shot_noise_s3,subspacead,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,3,0.42081604426002767,0.9518911979018623,1.0,0.0954356846473029,0.17424242424242423,45.62836919565693,1779827387580425800,2749
