experiment,experiment_dir,model,category,gpu_name,auroc,aupr,global_auroc,precision,recall,f1,accuracy,mean_latency_ms,throughput_fps,threshold_value,warmup_frames,calibration_frames,streaming_frames,mean_score_ok,mean_score_ng,_report_mtime_ns,_report_size,_frames_mtime_ns,_frames_size
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,Tesla T4,1.0,1.0,1.0,0.9979296066252588,1.0,0.998963730569948,0.9980237154150198,147.23956465019643,3.2420452155425066,7.622530937194824,150,50,506,4.390072723229726,60010.77196297309,1779772952867629000,2525,1779772952930106800,153585
coldstart_draem_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_draem_polymer_sheet_Polymer_sheet,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,0.7883817427385892,0.9871300895429272,0.5,0.983739837398374,0.2510373443983402,0.3999999999999999,0.2754491017964072,20.19192580238829,28.09581988703232,0.9982547163963318,200,5,501,0.9971176166283456,0.9979277259333994,1779776183229312400,2691,1779776183260449700,153628
coldstart_padim_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_padim_polymer_sheet_Polymer_sheet,padim,Polymer_sheet,Tesla T4,0.9962828492392808,0.9998067617572172,0.9767894190871368,0.9938144329896909,1.0,0.9968976215098242,0.9940711462450592,7.805235830035692,4.287384063880855,49.89956665039063,150,50,506,24.82012343406677,92.51803694127506,1779772929381893700,2593,1779772929172798200,154899
coldstart_patchcore_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_patchcore_polymer_sheet_Polymer_sheet,patchcore,Polymer_sheet,Tesla T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,278.55618921343114,2.0365607886903843,35.70747375488281,150,50,506,21.977859099706013,44.19163802847328,1779776619735169700,2503,1779776619723170600,154760
coldstart_rd4ad_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_rd4ad_polymer_sheet_Polymer_sheet,rd4ad,Polymer_sheet,Tesla T4,1.0,1.0,0.5674273858921162,0.9979296066252588,1.0,0.998963730569948,0.9980237154150198,64.55493159290545,4.658201510490551,0.0006816436070948,150,50,506,0.0001390066531712,0.0044294644883327,1779776613599666700,2562,1779776613576509800,158349
coldstart_stfpm_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_stfpm_polymer_sheet_Polymer_sheet,stfpm,Polymer_sheet,Tesla T4,0.5947441217150761,0.9668755193962046,0.5912863070539419,0.983739837398374,0.2510373443983402,0.3999999999999999,0.2826086956521739,14.814569575102846,6.108277173703218,0.0081618465483188,150,50,506,0.007439037435688,0.0114988901534531,1779776639770360100,2610,1779776639472359800,157966
coldstart_subspacead_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_subspacead_polymer_sheet_Polymer_sheet,subspacead,Polymer_sheet,Tesla T4,1.0,1.0,1.0,0.9979296066252588,1.0,0.998963730569948,0.9980237154150198,433.7725813517858,1.5266885986459522,4.153792381286621,150,50,506,3.106393833955129,9.224453235562908,1779772905690689500,2569,1779772905766223800,154681
