experiment,experiment_dir,source_format,raw_model,model,category,gpu_name,auroc,aupr,precision,recall,f1,accuracy,val_auroc,val_aupr,val_f1,val_precision,val_recall,mean_latency_ms,throughput_fps,threshold_value,threshold_mode,train_samples,val_samples,test_samples,fit_seconds,mean_score_ok,mean_score_ng
offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_draem_vandemoortele_deceuninck_20260428-085806,offline_colab,anomalib_draem,draem,Polymer_sheet,NVIDIA A100-SXM4-80GB,0.8016166281755196,0.9705259149223641,0.9369565217391305,0.9953810623556582,0.9652855543113102,0.9351464435146444,,,,,,15.967979724979593,62.6253309859155,0.989597,val_f1,,,,,0.9914060009850396,0.9937629522131992
offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_padim_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_padim,padim,Polymer_sheet,Tesla T4,0.9999486784706184,0.999994678643267,1.0,0.9953810623556582,0.9976851851851852,0.99581589958159,,,,,,4.611646549506324,216.8422894736842,70.083054,val_f1,,,,,23.486805979410807,107.01528746536643
offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_patchcore_vandemoortele_deceuninck_20260427-102501,offline_colab,anomalib_patchcore,patchcore,Polymer_sheet,Tesla T4,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,76.20565026215918,13.12238596491228,37.607372,val_f1,,,,,22.769811969333226,44.703277165014256
offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_anomalib_stfpm_vandemoortele_deceuninck_20260427-231116,offline_colab,anomalib_stfpm,stfpm,Polymer_sheet,NVIDIA L4,0.8923274313574545,0.9874287800451921,0.9685863874345549,0.8545034642032333,0.9079754601226994,0.8430962343096234,,,,,,4.716924489880236,212.00254599406526,0.019215,val_f1,,,,,0.019037086558010844,0.021666878619280752
offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_csflow_polymer_sheet_Polymer_sheet_20260525-231215,offline_colab,csflow,csflow,Polymer_sheet,Tesla T4,1.0,1.0,1.0,0.9930875576036866,0.9965317919075144,0.9937369519832986,,,,,,33.64266615587068,16.48333034702359,28.617584228515625,val_f1,,,,,3.391595458984375,51872.07795745656
offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_padim_polymer_sheet_Polymer_sheet_20260525-230103,offline_colab,padim,padim,Polymer_sheet,Tesla T4,0.9918586789554531,0.9989532634792171,0.9976905311778291,0.9953917050691244,0.9965397923875432,0.9937369519832986,,,,,,1.8431175943754612,31.93564733594645,64.86285400390625,val_f1,,,,,23.929070917765298,92.74374909994239
offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_rd4ad_vandemoortele_deceuninck_20260428-072729,offline_colab,rd4ad,rd4ad,Polymer_sheet,NVIDIA L4,1.0,1.0,1.0,0.9653579676674365,0.982373678025852,0.9686192468619247,,,,,,8.566658795309646,116.73162611275963,0.00205,val_f1,,,,,0.00013335346043782516,0.004914372940020804
offline_colab_subspacead_vandemoortele_deceuninck_20260427-102501,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 2\jobB_val_defect_V1\offline_colab_subspacead_vandemoortele_deceuninck_20260427-102501,offline_colab,subspacead,subspacead,Polymer_sheet,Tesla T4,1.0,1.0,1.0,0.9976905311778291,0.9988439306358381,0.997907949790795,,,,,,85.37602147697234,11.712890350877194,6.612747,val_f1,,,,,2.9790953636169433,9.103323777883762
