experiment,experiment_dir,model,category,gpu_name,auroc,aupr,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_csflow_real_iad_tape,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_tape,csflow,tape,NVIDIA L4,0.7353653846153847,0.9012745350216496,0.5815217391304347,85.5115837930877,1779011889920287200,2541
coldstart_csflow_real_iad_terminalblock,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_terminalblock,csflow,terminalblock,NVIDIA L4,0.630402552121144,0.8532283677614644,0.1903114186851211,85.12414819013838,1779011892830157900,2545
coldstart_csflow_real_iad_toothbrush,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_toothbrush,csflow,toothbrush,NVIDIA L4,0.9075004133597884,0.9681758364254214,0.5,86.56880213124695,1779011890623166100,2533
coldstart_csflow_real_iad_toy,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_toy,csflow,toy,NVIDIA L4,0.7304208790990525,0.8862430916058732,0.079696394686907,85.42447538011854,1779011890369028100,2527
coldstart_csflow_real_iad_toy_brick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_toy_brick,csflow,toy_brick,NVIDIA L4,0.6755263370170203,0.8404923143571219,0.1795332136445242,86.54626635899328,1779011889097945400,2552
coldstart_csflow_real_iad_transistor1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_transistor1,csflow,transistor1,NVIDIA L4,0.7170277825433188,0.8618045185141187,0.146788990825688,85.42574546854406,1779011889349212200,2557
coldstart_csflow_real_iad_u_block,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_u_block,csflow,u_block,NVIDIA L4,0.5959960121247521,0.8176172091453232,0.1169811320754717,86.38948344270132,1779011889639186300,2535
coldstart_csflow_real_iad_usb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_usb,csflow,usb,NVIDIA L4,0.7357173021235521,0.8851268673938926,0.2402707275803722,87.14202612675597,1779011892884309400,2541
coldstart_csflow_real_iad_usb_adaptor,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_usb_adaptor,csflow,usb_adaptor,NVIDIA L4,0.6608374779399968,0.8801217900687006,0.3131782945736434,86.43357617640419,1779011890773277800,2558
coldstart_csflow_real_iad_vcpill,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_vcpill,csflow,vcpill,NVIDIA L4,0.6097510860631677,0.8261703013815629,0.1814882032667876,86.04430746668992,1779011889590564900,2533
coldstart_csflow_real_iad_wooden_beads,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_wooden_beads,csflow,wooden_beads,NVIDIA L4,0.7382541552152859,0.92835879882688,0.3377386196769456,85.73532717690641,1779011889516239500,2544
